Class,Year,Total Score
AGRI,2018,55.2286
AGRI,2019,24.338900000000002
AGRI,2020,51.0245
AGRI,2021,38.146699999999996
AGRI,2022,90.4085
AGRI,2023,40.2658
ARTS,2018,4.1732
ARTS,2019,1.7913
ARTS,2020,6.2666
ARTS,2021,2.6233
ARTS,2022,6.6112
ARTS,2023,2.5864
BIOC,2018,109.1611
BIOC,2019,43.1381
BIOC,2020,68.5487
BIOC,2021,72.8556
BIOC,2022,122.1391
BIOC,2023,55.88420000000001
BUSI,2018,13.9805
BUSI,2019,8.5863
BUSI,2020,15.0502
BUSI,2021,5.1838
BUSI,2022,19.6071
BUSI,2023,10.2455
CENG,2018,56.3484
CENG,2019,27.322699999999998
CENG,2020,43.2092
CENG,2021,49.0832
CENG,2022,98.81540000000001
CENG,2023,49.0081
CHEM,2018,91.3695
CHEM,2019,47.1095
CHEM,2020,66.7504
CHEM,2021,82.568
CHEM,2022,121.8305
CHEM,2023,66.1621
COMP,2018,23.6946
COMP,2019,20.7579
COMP,2020,23.012
COMP,2021,15.0687
COMP,2022,50.4612
COMP,2023,20.6055
DECI,2018,3.3047999999999997
DECI,2019,5.1114
DECI,2020,4.7257
DECI,2021,0.9085
DECI,2022,3.8005
DECI,2023,1.5877000000000001
DENT,2018,14.492099999999999
DENT,2019,4.0845
DENT,2020,6.2795000000000005
DENT,2021,6.0664
DENT,2022,12.9487
DENT,2023,11.8576
EART,2018,40.6746
EART,2019,13.2513
EART,2020,29.5664
EART,2021,20.0262
EART,2022,27.0092
EART,2023,9.7248
ECON,2018,6.1614
ECON,2019,6.7329
ECON,2020,11.8468
ECON,2021,8.0725
ECON,2022,11.4419
ECON,2023,5.5333000000000006
ENER,2018,28.374599999999997
ENER,2019,22.110999999999997
ENER,2020,38.5062
ENER,2021,44.5686
ENER,2022,81.3111
ENER,2023,28.3724
ENGI,2018,90.5967
ENGI,2019,51.3063
ENGI,2020,66.012
ENGI,2021,73.1045
ENGI,2022,120.2432
ENGI,2023,57.553799999999995
ENVI,2018,55.01990000000001
ENVI,2019,26.563499999999998
ENVI,2020,52.3916
ENVI,2021,60.9001
ENVI,2022,113.8688
ENVI,2023,53.229
HEAL,2018,6.6466
HEAL,2019,2.9147
HEAL,2020,4.2764
HEAL,2021,4.1903
HEAL,2022,7.8317
HEAL,2023,3.9074999999999998
IMMU,2018,45.5366
IMMU,2019,16.714399999999998
IMMU,2020,29.005200000000002
IMMU,2021,27.0352
IMMU,2022,55.5692
IMMU,2023,30.951
MATE,2018,68.4834
MATE,2019,29.0509
MATE,2020,53.3633
MATE,2021,54.1339
MATE,2022,88.2511
MATE,2023,45.6535
MATH,2018,17.6669
MATH,2019,10.6099
MATH,2020,13.2208
MATH,2021,9.8184
MATH,2022,20.7582
MATH,2023,8.3426
MEDI,2018,179.0707
MEDI,2019,86.4522
MEDI,2020,119.7037
MEDI,2021,129.0277
MEDI,2022,223.7644
MEDI,2023,99.406
MULT,2018,24.2782
MULT,2019,12.8811
MULT,2020,23.397199999999998
MULT,2021,31.9308
MULT,2022,63.706199999999995
MULT,2023,25.537799999999997
NEUR,2018,47.9945
NEUR,2019,14.5626
NEUR,2020,17.464100000000002
NEUR,2021,18.4492
NEUR,2022,26.2039
NEUR,2023,11.6691
NURS,2018,8.543600000000001
NURS,2019,4.7642
NURS,2020,4.7011
NURS,2021,4.9375
NURS,2022,12.1074
NURS,2023,5.921200000000001
PHAR,2018,49.4127
PHAR,2019,16.8188
PHAR,2020,29.897800000000004
PHAR,2021,23.9214
PHAR,2022,49.6304
PHAR,2023,17.4743
PHYS,2018,222.33100000000002
PHYS,2019,110.8019
PHYS,2020,98.1488
PHYS,2021,133.8192
PHYS,2022,146.7591
PHYS,2023,60.1015
PSYC,2018,6.879100000000001
PSYC,2019,2.0368
PSYC,2020,7.3705
PSYC,2021,7.7082999999999995
PSYC,2022,11.2149
PSYC,2023,5.9391
SOCI,2018,29.1046
SOCI,2019,17.9098
SOCI,2020,24.741500000000002
SOCI,2021,22.398600000000002
SOCI,2022,52.3174
SOCI,2023,21.9851
VETE,2018,13.1836
VETE,2019,4.1183
VETE,2020,10.7369
VETE,2021,6.0268
VETE,2022,24.8505
VETE,2023,5.1628
